startPoints.lat	startPoints.lon	endPoints.lat	endPoints.lon
47.662562	-122.333721	47.650912	-122.351312
47.649064	-122.320477	47.64639	-122.303563
47.615613	-122.326816	47.620116	-122.330427
47.66712	-122.302434	47.656431	-122.313261
47.606529	-122.297831	47.606832	-122.315669
47.613985	-122.341617	47.614083	-122.32029
47.603986	-122.337146	47.678161	-122.37407
47.653452	-122.317518	47.650255	-122.331103
47.686038	-122.375478	47.658493	-122.313202
47.656431	-122.313261	47.62865	-122.29092
47.650911	-122.351312	47.623877	-122.35541
47.619707	-122.338849	47.638893	-122.341282
47.658492	-122.313202	47.625943	-122.301264
47.613401	-122.342582	47.621501	-122.356749
47.703131	-122.322717	47.647841	-122.332728
47.623877	-122.35541	47.639731	-122.32507
47.653929	-122.323843	47.675287	-122.376713
47.606832	-122.315669	47.625503	-122.321337
47.619689	-122.330168	47.580975	-122.291073
47.620816	-122.330793	47.586908	-122.306847
47.64639	-122.303564	47.614557	-122.313888
47.616399	-122.345702	47.655197	-122.329077
47.620117	-122.330427	47.633924	-122.340398
47.623212	-122.341494	47.659172	-122.342688
47.627246	-122.340985	47.663738	-122.335169
47.625466	-122.321338	47.615266	-122.317211
47.614083	-122.320288	47.660404	-122.315469
47.705778	-122.333952	47.631459	-122.306016
47.598024	-122.334149	47.700179	-122.323129
47.660402	-122.315469	47.69989	-122.323127
47.614267	-122.334359	47.643804	-122.372343
47.620438	-122.345003	47.688609	-122.388745
47.6215	-122.356749	47.639227	-122.372591
47.66851	-122.28305	47.664202	-122.380579
47.615266	-122.317212	47.616498	-122.288293
47.633924	-122.340398	47.635922	-122.357382
47.647841	-122.332728	47.63132	-122.361651
47.580975	-122.291073	47.614267	-122.334359
47.664202	-122.380579	47.678058	-122.312427
47.635922	-122.357382	47.657724	-122.352877
47.614557	-122.313889	47.655811	-122.341829
47.63487	-122.342285	47.64737	-122.335192
47.688609	-122.388745	47.667154	-122.375593
47.64737	-122.335192	47.613829	-122.325518
47.667154	-122.375593	47.684462	-122.387581
47.614273	-122.352029	47.61791	-122.34787
47.667615	-122.397501	47.623268	-122.357018
47.617912	-122.347868	47.605214	-122.317249
47.662868	-122.318396	47.623798	-122.355411
47.678058	-122.312427	47.604593	-122.307655
47.643804	-122.372343	47.645822	-122.37247
47.613741	-122.347155	47.612202	-122.344564
47.618928	-122.312765	47.61374	-122.347155
47.650255	-122.331104	47.588133	-122.327877
47.605214	-122.317249	47.581024	-122.31166
47.629591	-122.359852	47.611414	-122.334693
47.660665	-122.334977	47.604721	-122.327303
47.691344	-122.393946	47.672367	-122.383285
47.684462	-122.387581	47.615672	-122.33794
47.672367	-122.383288	47.606788	-122.333557
47.631459	-122.306016	47.618761	-122.319373
47.665146	-122.314292	47.638954	-122.329536
47.616498	-122.288292	47.627718	-122.281294
47.623799	-122.355411	47.598307	-122.334949
47.615672	-122.33794	47.604493	-122.336665
47.663738	-122.335169	47.638256	-122.327984
47.638954	-122.329535	47.611229	-122.322258
47.623267	-122.357014	47.61966	-122.332737
47.638256	-122.327984	47.605795	-122.337253
47.618761	-122.319373	47.664726	-122.29563
47.611414	-122.334693	47.677358	-122.368719
47.581024	-122.31166	47.580369	-122.334219
47.675287	-122.376714	47.626243	-122.341514
47.605794	-122.337252	47.623585	-122.335846
47.677358	-122.368719	47.614299	-122.340097
47.655811	-122.341827	47.614397	-122.334543
47.604492	-122.336668	47.615003	-122.346683
47.615003	-122.346683	47.602062	-122.333107
47.631007	-122.353706	47.61751	-122.34554
47.598306	-122.334945	47.598366	-122.32405
47.687662	-122.357507	47.606074	-122.329371
47.659172	-122.342688	47.677797	-122.326388
47.664724	-122.29563	47.66714	-122.305528
47.607676	-122.340498	47.62184	-122.312667
47.620197	-122.331725	47.683729	-122.368329
47.622159	-122.360366	47.607113	-122.327706
47.676953	-122.297359	47.701017	-122.323139
47.620383	-122.338482	47.60719	-122.305842
47.688226	-122.322269	47.584112	-122.301654
47.597181	-122.297487	47.603043	-122.336274
47.587419	-122.289315	47.617427	-122.35416
47.614106	-122.308406	47.661268	-122.283184
47.60719	-122.305842	47.614256	-122.338169
47.682454	-122.37257	47.668689	-122.378083
47.630866	-122.320212	47.639154	-122.328338
