type	latitude	longitude	color	width	opacity	name
T	47.595585	-122.28759
T	47.595947	-122.287544
T	47.596195	-122.287437
T	47.596809	-122.287163
T	47.597336	-122.286972
T	47.597919	-122.286743
T	47.598236	-122.286629
T	47.599121	-122.28643
T	47.599785	-122.285912
T	47.600094	-122.285706
T	47.601093	-122.28537
T	47.601654	-122.285172
T	47.603683	-122.284088
T	47.604137	-122.28363
T	47.604549	-122.283356
T	47.604904	-122.283241
T	47.605938	-122.283333
T	47.606808	-122.283241
T	47.607899	-122.283157
T	47.6087	-122.282913
T	47.609241	-122.282745
T	47.609783	-122.282677
T	47.61113	-122.282463
T	47.611794	-122.281906
T	47.612217	-122.281509
T	47.612423	-122.281342
T	47.612724	-122.281189
T	47.613014	-122.281136
T	47.613369	-122.281136
T	47.614265	-122.28141
T	47.614704	-122.281326
T	47.615261	-122.281113
T	47.615547	-122.280991
T	47.615562	-122.280983
T	47.615959	-122.281105
T	47.616467	-122.281578
T	47.616692	-122.281624
T	47.616985	-122.281609
T	47.617622	-122.28141
T	47.618198	-122.281319
T	47.619026	-122.281487
T	47.619492	-122.281281
T	47.619507	-122.281273
T	47.619858	-122.28138
T	47.620071	-122.281334
T	47.62009	-122.281326
T	47.620701	-122.281769
T	47.620975	-122.282112
T	47.621292	-122.282753
T	47.621624	-122.28286
T	47.624397	-122.28299
T	47.624603	-122.282967
T	47.624973	-122.282814
T	47.625305	-122.282661
T	47.626163	-122.282631
T	47.626549	-122.281883
T	47.626713	-122.281647
T	47.627235	-122.281166
T	47.627491	-122.281075
T	47.627686	-122.281082
T	47.628445	-122.281052
T	47.628441	-122.279915
T	47.628441	-122.279831
T	47.629608	-122.279762
T	47.629616	-122.278671
T	47.629616	-122.278633
T	47.630985	-122.276993
T	47.631084	-122.276878
T	47.631084	-122.278412
T	47.633228	-122.278351
T	47.633217	-122.277054
T	47.633213	-122.27697
T	47.635067	-122.276886
T	47.635391	-122.276955
T	47.638924	-122.276855
T	47.640793	-122.276848
T	47.640854	-122.276848
T	47.640854	-122.278061
T	47.642128	-122.278038
T	47.642189	-122.278038
T	47.642197	-122.279579
T	47.6422	-122.279671
T	47.640884	-122.279686
T	47.640884	-122.280449
